reservation_id,unit_id,unit_type,date,head_count,host_user,option1,option2,prop_id,reserve_code,slot_length,slot_minutes,special_req,status,time,time_slots,user_id
1,69,type3,2023-10-03,106,687005,,,97,2,10,30,Booked,Cancelled,10:00:00,2,9575
2,46,type3,2023-04-21,37,362018,,,82,1,15,60,Pending,Cancelled,16:00:00,1,9108
3,93,type2,2023-06-19,123,794591,,,76,2,10,30,Booked,Cancelled,16:00:00,2,1264
4,25,type4,2023-11-24,80,781055,,,74,1,10,90,Confirmed,Booked,19:00:00,1,8981
5,18,type4,2023-08-28,102,728605,,,1,4,10,90,Booked,Booked,14:00:00,3,4738
6,14,type1,2023-10-09,83,919529,,,20,1,20,90,Pending,Booked,15:00:00,3,3648
7,45,type1,2023-05-31,85,194232,,,89,4,15,60,None,Pending,18:00:00,2,6556
8,91,type1,2023-10-21,102,454123,,,85,1,15,30,None,Booked,09:00:00,1,2286
9,62,type1,2023-03-07,56,602968,,,32,4,15,60,Confirmed,Booked,19:00:00,2,7437
10,80,type1,2023-12-25,31,199263,,,48,3,20,60,Booked,Cancelled,16:00:00,1,6837
11,19,type3,2023-12-10,132,800029,,,15,1,20,90,Confirmed,Booked,16:00:00,1,6430
12,54,type1,2023-01-03,66,211832,,,24,4,15,30,Booked,Cancelled,21:00:00,3,1029
13,67,type3,2023-07-28,49,737549,,,5,1,10,90,Pending,Cancelled,13:00:00,1,5607
14,52,type1,2023-04-06,39,326660,,,74,1,20,60,None,Cancelled,16:00:00,2,5133
15,43,type2,2023-01-08,50,490775,,,16,4,10,30,Pending,Booked,11:00:00,2,3550
16,19,type2,2023-10-02,13,704711,,,46,2,10,30,Booked,Booked,12:00:00,2,2551
17,37,type2,2023-10-06,21,127564,,,19,1,15,90,None,Pending,21:00:00,2,4988
18,70,type2,2023-05-21,19,278557,,,19,2,10,90,Confirmed,Cancelled,13:00:00,2,9336
19,63,type4,2023-04-28,45,762782,,,4,3,15,60,None,Booked,21:00:00,2,1074
20,98,type4,2023-10-15,31,780180,,,90,2,10,60,Booked,Pending,19:00:00,2,7516
21,22,type4,2023-10-15,58,926983,,,12,2,15,30,Pending,Pending,11:00:00,1,1328
22,59,type1,2023-01-22,35,345069,,,90,3,20,30,Pending,Cancelled,17:00:00,3,6852
23,21,type1,2023-04-17,135,792335,,,95,2,10,90,Confirmed,Booked,18:00:00,1,4795
24,42,type1,2023-03-12,138,535803,,,13,4,10,30,None,Pending,14:00:00,2,3198
25,1,type2,2023-04-24,129,655714,,,73,2,10,90,Booked,Pending,09:00:00,3,9121
26,8,type2,2023-03-04,82,689090,,,25,4,10,90,None,Pending,15:00:00,2,6814
27,22,type4,2023-01-28,84,743554,,,45,2,15,30,None,Pending,09:00:00,3,3783
28,30,type4,2023-10-01,71,274648,,,7,1,20,30,Booked,Booked,11:00:00,3,8466
29,46,type4,2023-04-19,139,412793,,,41,3,20,90,Confirmed,Cancelled,11:00:00,2,9422
30,77,type1,2023-01-13,29,890645,,,70,4,15,60,Booked,Pending,19:00:00,1,9943
31,32,type3,2023-01-24,141,637566,,,62,2,20,60,Pending,Pending,12:00:00,2,9896
32,49,type3,2023-10-19,127,913014,,,51,1,10,60,Booked,Cancelled,19:00:00,2,9395
33,60,type1,2023-11-20,69,543820,,,67,1,20,90,None,Cancelled,09:00:00,1,8198
34,31,type4,2023-02-10,109,252341,,,3,1,15,90,Booked,Booked,16:00:00,3,5254
35,78,type4,2023-01-08,7,453735,,,61,3,20,30,Booked,Booked,08:00:00,2,4154
36,52,type3,2023-04-03,74,954484,,,12,4,10,60,Pending,Booked,19:00:00,3,8260
37,22,type1,2023-07-14,9,149781,,,34,4,10,30,Booked,Pending,16:00:00,1,4830
38,40,type4,2023-01-06,64,737630,,,99,1,10,60,Booked,Pending,14:00:00,3,7419
39,61,type2,2023-01-14,47,888821,,,49,2,10,60,Confirmed,Booked,13:00:00,1,6527
40,69,type4,2023-07-30,145,785556,,,79,2,15,30,Pending,Booked,13:00:00,3,5749
41,90,type2,2023-04-08,135,634611,,,90,2,20,60,Pending,Cancelled,11:00:00,3,9470
42,4,type1,2023-08-05,54,885127,,,85,2,10,30,Confirmed,Pending,20:00:00,3,7752
43,1,type2,2023-06-28,61,913863,,,22,3,10,60,Booked,Pending,11:00:00,1,8816
44,53,type4,2023-03-15,129,178876,,,32,1,15,60,Confirmed,Booked,20:00:00,1,9716
45,65,type4,2023-06-26,15,921011,,,98,4,10,90,Confirmed,Booked,21:00:00,3,1078
46,20,type2,2023-04-12,138,456185,,,5,1,10,90,Booked,Booked,14:00:00,3,1861
47,87,type4,2023-02-10,8,806368,,,37,2,10,90,Pending,Pending,15:00:00,1,7070
48,54,type1,2023-12-09,130,708676,,,99,3,10,60,Confirmed,Booked,12:00:00,3,7681
49,21,type1,2023-07-30,37,424063,,,64,4,10,30,None,Booked,20:00:00,3,6614
50,52,type2,2023-05-31,45,981048,,,59,1,20,90,None,Cancelled,19:00:00,1,1618
51,41,type1,2023-07-23,7,287638,,,51,3,15,60,None,Booked,10:00:00,3,7086
52,41,type1,2023-03-20,88,281589,,,13,1,20,90,Confirmed,Pending,19:00:00,2,1370
53,55,type2,2023-08-17,6,575556,,,32,2,10,60,Confirmed,Cancelled,14:00:00,2,1351
54,7,type1,2023-01-21,54,804271,,,50,3,20,60,Confirmed,Pending,10:00:00,3,5982
55,90,type1,2023-07-09,140,235832,,,17,2,20,60,None,Booked,21:00:00,1,9048
