reservation_id,unit_id,unit_type,date,head_count,host_user,option1,option2,prop_id,reserve_code,slot_length,slot_minutes,special_req,status,time,time_slots,user_id
1,32,type3,2024-04-27,36,531058,,,95,1,20,60,None,Pending,06:00:00,1,4863
2,18,type2,2024-04-10,11,875537,,,4,3,20,90,Pending,Booked,18:00:00,2,2528
3,5,type1,2024-04-13,110,530883,,,16,4,20,30,None,Booked,01:00:00,3,7837
4,49,type2,2024-04-22,29,612165,,,96,4,10,30,Pending,Pending,01:00:00,2,2021
5,57,type3,2024-04-18,44,231590,,,67,2,10,60,Pending,Booked,18:00:00,3,2528
6,95,type1,2024-04-05,120,274730,,,65,1,15,90,Booked,Pending,11:00:00,3,8778
7,31,type1,2024-04-29,129,629850,,,6,4,15,30,Booked,Pending,13:00:00,1,7434
8,7,type2,2024-04-06,23,384673,,,59,2,20,30,Pending,Pending,15:00:00,1,5413
9,84,type1,2024-04-15,125,354301,,,91,4,10,30,Confirmed,Booked,22:00:00,1,5980
10,46,type3,2024-04-14,28,820400,,,3,4,15,90,Booked,Booked,13:00:00,2,9560
11,75,type1,2024-04-23,42,421604,,,4,4,10,30,None,Cancelled,16:00:00,3,4333
12,15,type1,2024-04-25,148,387800,,,74,3,15,30,Booked,Pending,20:00:00,3,1447
13,47,type3,2024-04-06,66,205806,,,64,1,15,30,Confirmed,Cancelled,04:00:00,1,2659
14,53,type3,2024-04-29,16,132313,,,44,3,15,30,Confirmed,Cancelled,17:00:00,2,5147
15,66,type1,2024-04-29,81,143312,,,45,2,20,30,Pending,Pending,15:00:00,2,7080
16,3,type3,2024-04-12,59,564876,,,78,2,10,60,Booked,Pending,00:00:00,2,6143
17,79,type1,2024-04-03,109,391079,,,8,2,20,30,Confirmed,Cancelled,05:00:00,1,3739
18,4,type1,2024-04-17,147,243207,,,98,4,15,90,Confirmed,Cancelled,22:00:00,1,8380
19,81,type1,2024-04-10,13,649758,,,84,3,20,60,Pending,Booked,07:00:00,3,9383
20,54,type2,2024-04-29,47,306710,,,50,2,20,60,Booked,Booked,11:00:00,3,1499
21,59,type1,2024-04-12,120,639119,,,18,4,15,90,None,Booked,05:00:00,3,3814
22,57,type2,2024-04-14,29,768447,,,63,3,20,90,Confirmed,Cancelled,11:00:00,2,3705
23,33,type3,2024-04-27,64,737924,,,28,2,20,90,None,Cancelled,02:00:00,2,5563
24,64,type1,2024-04-24,98,212555,,,61,1,10,30,None,Booked,16:00:00,2,5016
25,11,type3,2024-04-26,34,291759,,,47,4,20,30,Confirmed,Booked,01:00:00,3,6410
26,29,type2,2024-04-07,93,411771,,,33,1,10,90,Booked,Cancelled,16:00:00,1,8986
27,93,type2,2024-04-14,54,905874,,,87,2,10,30,None,Cancelled,13:00:00,2,2442
28,86,type2,2024-04-22,141,396149,,,95,4,10,60,Pending,Booked,00:00:00,2,6790
29,72,type1,2024-04-19,48,363073,,,73,2,10,90,Pending,Booked,16:00:00,1,8118
30,16,type1,2024-04-10,75,710707,,,39,1,20,30,Confirmed,Booked,20:00:00,1,5068
31,14,type3,2024-04-20,132,322133,,,65,4,20,60,Pending,Booked,14:00:00,1,8131
32,9,type1,2024-04-10,132,452247,,,41,3,10,30,None,Cancelled,11:00:00,3,4250
33,92,type3,2024-04-19,19,102894,,,61,3,10,60,Confirmed,Cancelled,01:00:00,3,9631
34,25,type3,2024-04-01,3,963870,,,82,1,20,30,Confirmed,Booked,20:00:00,2,5915
35,2,type3,2024-04-19,121,737711,,,35,1,15,90,None,Cancelled,21:00:00,1,8268
36,4,type1,2024-04-09,112,623056,,,92,2,10,60,Pending,Booked,01:00:00,3,9948
37,5,type1,2024-04-15,112,886104,,,77,1,20,90,Confirmed,Cancelled,09:00:00,3,5370
38,15,type2,2024-04-06,37,618276,,,37,3,15,30,Booked,Booked,17:00:00,1,2338
39,99,type3,2024-04-09,45,541519,,,8,2,20,60,Pending,Booked,23:00:00,2,2908
40,13,type2,2024-04-18,130,146899,,,99,1,20,90,None,Booked,03:00:00,1,4756
41,17,type3,2024-04-28,39,693084,,,96,3,20,90,None,Pending,13:00:00,3,3421
42,63,type2,2024-04-09,4,987362,,,51,3,20,30,Pending,Pending,17:00:00,1,5061
43,60,type1,2024-04-10,32,305006,,,30,1,20,60,Booked,Cancelled,17:00:00,2,9423
44,28,type2,2024-04-29,108,603085,,,88,3,10,30,None,Cancelled,09:00:00,3,6151
45,79,type3,2024-04-21,17,396018,,,98,3,10,60,Confirmed,Pending,11:00:00,2,9658
46,83,type2,2024-04-11,17,790141,,,45,3,10,60,None,Cancelled,17:00:00,3,3484
47,89,type3,2024-04-03,87,210175,,,37,1,15,30,Booked,Cancelled,17:00:00,3,3752
48,45,type3,2024-04-30,71,749738,,,6,3,20,60,Booked,Booked,23:00:00,3,8281
